_id,level,max_velocity,name,type
32578248,4,,,unclassified
32578335,3,,Lê Văn Thọ,secondary
32578371,4,,,unclassified
32578420,4,,Đường số 11,tertiary
32578431,4,,Nguyễn Văn Bá,tertiary
32578529,4,,Tân Chánh Hiệp 39,tertiary
32578530,4,,THOI TAM THÔN 5,unclassified
32578532,4,,,unclassified
32578543,3,,Bình Long,secondary
32578609,4,,Bông Sao,tertiary
32578654,2,,Dương Bá Trạc,primary
32578658,4,,Kinh Trung ương,tertiary
32578663,4,,,tertiary
32578669,4,,Tăng Nhơn Phú,tertiary
32578711,4,,An Dương Vương,tertiary
32578733,4,,Hồng Lạc,tertiary
32578736,2,,Phan Đình Giót,primary
32578747,4,,Nghĩa Phát,tertiary
32578749,4,,Lãnh Binh Thăng,tertiary
32578758,4,,Phú Thọ,tertiary
32578763,4,,Phú Châu,tertiary
32578837,3,,Nguyễn Văn Bứa,secondary
32578991,4,,Thiên Phước,tertiary
32579008,4,,Nam Hoà,tertiary
32579063,4,,Nguyễn Kim,tertiary
32579064,4,40,Chợ Lớn,tertiary
32579086,4,,Tân Thới Hiệp 21,unclassified
32579104,4,,Đường số 12,unclassified
32579159,4,,Hưng Nhơn,tertiary
32579214,3,,Tạ Quang Bửu,secondary
32579252,4,,,unclassified
32579339,4,,Hẻm 92B Tôn Thất Thuyết,unclassified
32579340,4,,Vĩnh Hội,tertiary
32579401,4,,Dồng Tâm,unclassified
32579403,4,,Đường số 31,unclassified
32579418,4,,Trương Công Định,tertiary
32579421,4,,Chu Văn An,unclassified
32579484,4,,,tertiary
32579504,4,,Bình Lợi,tertiary
32579641,4,,Bình Thới,tertiary
32579669,3,,Trường Sơn,secondary
32579678,4,,,unclassified
32579680,4,,Tây Thạnh,tertiary
32579734,4,,Tam Châu,unclassified
32579758,4,,Trần Phú,tertiary
32579838,4,,Đường số 10,tertiary
32579840,4,,Đường số 17,tertiary
32579894,4,,Hồ Văn Huê,tertiary
32579930,4,,Đường Số 10,unclassified
32579940,4,,Trường Sa,tertiary
32579995,4,,Tân Quý,unclassified
32580074,4,40,Đường số 4,tertiary
32580086,4,,Lê Đại Hành,tertiary
32580098,4,,Đào Trinh Nhất,tertiary
32580099,4,,Ung Văn Khiêm,tertiary
32580111,4,,Bà Lài,tertiary
32580124,2,,Pham Ngũ Lão,primary
32580173,4,,Phan Thúc Duyện,unclassified
32580181,4,,Tô Hiệu,tertiary
32580182,4,,Phan Văn Năm,tertiary
32580208,3,50,Lê Văn Khương,secondary
32580232,4,,,unclassified
32580242,2,,Xuân Hồng,primary
32580243,4,,Đặng Văn Ngữ,tertiary
32580244,4,,Đặng Văn Ngữ,tertiary
32580249,4,,Hoàng Thiều Hoa,unclassified
32580262,4,,Tên Lửa,tertiary
32580347,4,,,unclassified
32580352,4,,Bình Đông,tertiary
32580364,4,,Nguyễn Xí,tertiary
32580377,4,,Lê Quang Kim,tertiary
32580378,4,,Trần Tuấn Khải,tertiary
32580387,3,,Trần Quốc Hoàn,secondary
32580441,4,,Nguyễn Văn Luông,tertiary
32580466,4,,Phó Cơ Điều,tertiary
32580469,4,,Trần Văn Kiểu,unclassified
32580481,4,,Bình Tiên,tertiary
32580608,4,,Lữ Gia,tertiary
32580696,4,,Thế Lữ,tertiary
32580725,4,,Vạn Kiếp,tertiary
32580762,4,,Bùi Tư Toàn,unclassified
32580788,4,,Dồng Tâm,unclassified
32580857,4,,Nguyễn Đình Chiểu,tertiary
32580936,4,,Nguyễn Thị Sóc,tertiary
32580959,4,,Cầu Xéo,unclassified
32581025,4,,Dồng Tâm,unclassified
32581052,4,,Trần Nhân Tôn,tertiary
32581070,2,,Nguyễn Tất Thành,primary
32581105,4,,Dương Bạch Mai,tertiary
32581129,2,,Lý Thái Tổ,primary
32581146,4,,Đường số 13,tertiary
32581160,2,,Đinh Tiên Hoàng,primary
32581161,4,,Hoàng Sĩ Khải,unclassified
32581289,3,,Hoàng Hữu Nam,secondary
32581292,4,,Ngô Chí Quốc,tertiary
32581293,3,,Tỉnh lộ 43,secondary
32581295,4,,,tertiary
32581306,4,,Tống Văn Trân,unclassified
32581307,4,,Hẻm 341 Khuông Việt,unclassified
32581342,4,,Lê Hoàng Phái,unclassified
32581395,3,,Nguyễn Ảnh Thủ,secondary
32581500,4,,Trương Vĩnh Ký,tertiary
32581519,4,,Xuân Thuỷ,tertiary
32581523,4,,Tôn Đản,tertiary
32581649,3,,Trịnh Thị Miếng,secondary
32581658,4,,Dồng Tâm,unclassified
32581673,4,,Bà Triệu,tertiary
32581676,4,,Đỗ Thừa Luông,unclassified
32581689,4,,,unclassified
32581692,4,,Lâm Viên,unclassified
32581693,4,,Đường Số 1,unclassified
32581696,4,,Cầu số 3,tertiary
32581730,4,40,Quốc Hương,tertiary
32581819,4,,Vành Đai Trong,tertiary
32581845,4,,Trần Thị Bốc,tertiary
32581862,4,,,unclassified
32581878,4,,Đa Phước,unclassified
32581881,4,,Hẻm 1129 Lạc Long Quân,tertiary
32581914,4,,Đường số 14,tertiary
32581932,4,,Phan Văn Trị,tertiary
32581944,1,50,Cầu Sài Gòn 1,trunk
32581965,4,,Phạm Văn Chiêu,tertiary
32581966,4,,Đường Liên ấp,tertiary
32582036,4,,Đường 59,unclassified
32582107,4,,Cao Lỗ,tertiary
32582109,4,,Hoà Hưng,tertiary
32582143,4,,Dương Văn Dương,unclassified
32582173,4,,Thoại Ngọc Hầu,tertiary
32582180,4,,Nguyễn Ngọc Lộc,tertiary
32582226,4,,Nguyễn Văn Khối,tertiary
32582234,4,,Dồng Tâm,unclassified
32582260,4,,Diệp Minh Châu,unclassified
32582349,4,,,unclassified
32582366,4,,Phạm Văn Sáng,tertiary
32582442,4,,Trường Sa,tertiary
32582473,4,,Bùi Thanh Khiết,tertiary
32582476,4,,Nguyễn Cửu Phú,tertiary
32582486,3,,Đại lộ Độc Lập,secondary
32582491,3,,Trưng Nữ Vương,secondary
32582522,4,,Lý Chiêu Hoàng,tertiary
32582523,4,,Lý Chiêu Hoàng,tertiary
32582530,4,,Đường Liên Ấp 6-2,tertiary
32582531,4,,Lại Hùng Cường,tertiary
32582556,4,,Phạm Văn Xảo,tertiary
32582573,4,,Trịnh Quang Nghị,tertiary
32582575,4,,Cầu Kinh,tertiary
32582602,4,,Vườn Lài,tertiary
32582769,3,,Đại lộ Độc Lập,secondary
32582843,2,,Cầu Bình Triệu 1,primary
32582845,2,,Quốc lộ 13,primary
32582890,4,,Bưng Ông Thoàn,tertiary
32582891,4,,Bưng Ông Thoàn,tertiary
32582894,3,,Lê Văn Lương,secondary
32582897,3,,Huỳnh Tấn Phát,secondary
32582967,4,,,unclassified
32582981,4,,Vườn Lài,tertiary
32583053,3,,,trunk_link
32583077,4,,Tân Quý,unclassified
32583099,4,,Lê Văn Qưới,tertiary
32583177,4,,Lưu Hữu Phước,tertiary
32583251,4,,Lê Bình,unclassified
32583282,4,,Võ Văn Ngân,tertiary
32583376,3,,Nguyễn Văn Tăng,secondary
32583384,4,,Nguyễn Thái Bình,tertiary
32583460,3,,Quốc lộ 1,trunk_link
32583465,4,,Đông Hưng Thuận 2,unclassified
32583503,4,,Nguyễn Sĩ Cố,unclassified
32583518,4,,Bến Bình Đông,tertiary
32583519,4,,Bến Bình Đông,tertiary
32583521,4,,Bến Bình Đông,tertiary
32583648,4,,Trường Lưu,unclassified
32583670,4,30,Phan Huy Ôn,tertiary
32583688,4,,Hoàng Diệu,unclassified
32583754,3,,Lê Văn Thọ,secondary
32583784,4,,Bình Phú,tertiary
32583837,4,,Phạm Văn Bạch,tertiary
32583864,4,,Bà Diểm 5,unclassified
32583934,4,,Hẻm 137 Phan Anh,unclassified
32583943,4,,Lê Đình Cẩn,tertiary
32583944,4,,Tên Lửa,tertiary
32583960,4,,Phạm Thế Hiển,tertiary
32583980,4,,Đường số 11,tertiary
32584000,4,,Phạm Hữu Lầu,tertiary
32584015,4,,Bến Cát,unclassified
32584102,3,,Cầu vượt Ngã tư Gò Dưa,secondary
32584146,4,,Minh Phụng,tertiary
32584156,4,,Nguyễn Văn Lạc,tertiary
32584204,4,,Bến Ngô Sĩ Liên,unclassified
32584205,4,,Dương Văn Cam,tertiary
32584275,4,,Âu Dương Lân,tertiary
32584299,4,,Phan Văn Trị,tertiary
32584318,4,,Đất Thánh,tertiary
32584342,4,,Số 7,tertiary
32584369,4,,,unclassified
32584390,2,,Quang Trung,primary
32584394,4,,Đồng Đen,tertiary
32584426,4,20,Hẻm 86 Ông Ích Khiêm,unclassified
32584465,4,,Nguyễn Nhược Thị,unclassified
32584592,4,,Nguyễn Thị Đặng,tertiary
32584622,3,,Vĩnh Lộc,secondary
32584776,4,,,tertiary
32584861,4,,Linh Trung,unclassified
32584862,3,,Nguyễn Hữu Trí,secondary
32584870,4,,Nguyễn Hậu,unclassified
32584875,4,,Số 12,unclassified
32584958,4,,Đường Số 15,unclassified
32585130,4,,Nguyễn Sơn,tertiary
32585144,4,,Liên khu 5-11-12,unclassified
32585196,4,,Bình Đường,tertiary
32585220,4,,Tân Mỹ,unclassified
32585230,4,,Gò Xoài,tertiary
32585240,3,,Lê Văn Thọ,secondary
32585248,4,,Nguyễn Duy Trinh,tertiary
32585249,4,,Nguyễn Duy Trinh,tertiary
32585293,2,,Lê Lợi,primary
32585311,4,,Trương Đình Hội,unclassified
32585389,1,60,Mai Chí Thọ,trunk
32585394,4,,Sư Vạn Hạnh,tertiary
32585398,2,,Phan Thúc Duyện,primary
32585475,4,,Đường B1,unclassified
32585491,4,,Tân Xuân 2,unclassified
32585536,4,,Hoàng Hoa Thám,unclassified
32585538,4,,Đoàn Văn Bơ ( ngõ chợ ),unclassified
32585579,4,,Phạm Phú Thứ,tertiary
32585601,4,,Nguyễn Trọng Tuyển,tertiary
32585607,4,,,unclassified
32585640,4,,Đông Hưng Thuận 6,unclassified
32585684,2,60,Nguyễn Văn Linh,primary
32585690,4,,Ngô Gia Tự,tertiary
32585697,4,,Trần Văn Quang,unclassified
32585770,4,,Đường số 8,tertiary
32585800,4,,Đường số 17,unclassified
32585808,3,,Trịnh Thị Miếng,secondary
32585809,4,,Gò Dầu,tertiary
32585837,2,,Phan Đăng Lưu,primary
32585854,2,,Nguyễn Văn Cừ,primary
32585956,4,,Nguyễn Thị Đặng,tertiary
32585961,4,,Liên khu 2-5,unclassified
32586067,4,,Lê Văn Việt,tertiary
32586068,4,,Phú Thọ Hoà,unclassified
32586122,4,,Bàu Cát,tertiary
32586132,4,,Cây Bàng,tertiary
32586143,4,,Lý Phục Man,unclassified
32586165,4,,Ni Sư Huỳnh Liên,tertiary
32586257,4,,Hiệp Bình,tertiary
32586271,4,,Đường N,unclassified
32586308,4,,Đường Số 10,unclassified
32586319,4,,,tertiary
32586322,4,,Bông Văn Dìa,unclassified
32586364,4,20,Đường số 7A,tertiary
32586387,4,,Đường số 1,unclassified
32586408,4,,Dương Đình Hội,tertiary
32586472,4,,Lâm Văn Bền,tertiary
32586475,4,,Độc Lập,unclassified
32586524,3,,Nguyễn Thị Tú,secondary
32586601,4,,Hiền Vương,tertiary
32586648,4,,Lưu Hữu Phước,unclassified
32586673,4,,Nguyễn Biểu,tertiary
32586683,4,,Đường số 2,unclassified
32586691,4,,Đường số 1,tertiary
32586700,4,,Đường số 6,tertiary
32586725,4,,Thăng Long,tertiary
32586732,4,,,unclassified
32586752,4,,Đường số 3,unclassified
32586874,2,,Lý Thường Kiệt,primary
32586896,4,,Phan Thúc Duyện,tertiary
32586911,4,,,unclassified
32586943,4,,Lê Hồng Phong,tertiary
32586993,4,,Nguyễn Tuyển,unclassified
32587037,4,,Xuân Thới Sơn 21,tertiary
32587043,4,,Lê Thị Hà,unclassified
32587044,3,,Lê Văn Thọ,secondary
32587119,4,,Ngô Tất Tố,tertiary
32587225,3,,Quách Điêu,secondary
32587244,4,,Cầu B1,tertiary
32587294,3,,Lê Văn Thọ,secondary
32587315,4,,Nguyễn Xuân Khoát,unclassified
32587317,4,,Nguyễn Xuân Khoát,unclassified
32587319,4,,Dồng Tâm,unclassified
32587327,4,,Nguyễn Văn Hưởng,tertiary
32587351,4,,Tân Xuân 2,unclassified
32587364,4,,Ngô Nhân Tịnh,tertiary
32587365,4,,Bùi Hữu Nghĩa,tertiary
32587375,2,,Phan Đăng Lưu,primary
32587377,4,,Cầu Chữ Y,tertiary
32587529,2,,Nguyễn Thái Sơn,primary
32587530,3,,Bạch Đằng,secondary
32587532,4,,Phạm Thế Hiển,tertiary
32587533,4,,Phạm Thế Hiển,tertiary
32587534,4,,Phạm Thế Hiển,tertiary
32587570,4,,Phan Xích Long,tertiary
32587582,2,,Quang Trung,primary
32587696,3,,Tỉnh lộ 43,trunk_link
32587703,4,,Hồ Học Lãm,tertiary
32587722,4,,Đào Duy Anh,tertiary
32587726,4,,Trần Hưng Đạo,unclassified
32587735,4,,Hẻm 85 Bùi Minh Trực,unclassified
32587814,4,,Tô Hiến Thành,tertiary
32587839,4,,Xô Viết Nghệ Tĩnh,tertiary
32587982,4,,Võ Thị Hồi,tertiary
32588042,4,,Xóm Chiếu,unclassified
32588092,4,,Bình Trị Đông,tertiary
32588119,4,,Trần Quý,tertiary
32588258,4,,Nguyễn Văn Đậu,tertiary
32588270,4,,Nguyễn Thị Nhỏ,tertiary
32588299,4,,Trần Văn Mười,tertiary
32588428,4,,Nguyễn Thần Hiến,unclassified
32588432,2,,Hùng Vương,primary
32588479,4,,Tân Sơn Nhì,unclassified
32588499,3,,Hoàng Hữu Nam,secondary
32588532,2,,Cách Mạng Tháng Tám,primary
32588592,4,,Tam Hà,unclassified
32588630,4,,Bùi Hữu Nghĩa,tertiary
32588655,4,,,unclassified
32588663,3,,Tỉnh lộ 43,secondary
32588734,4,,Hoài Thanh,unclassified
32588801,4,,Huỳnh Thiện Lộc,unclassified
32588816,4,,Lương Định Của,tertiary
32588888,4,,Trần Văn Trà,tertiary
32588936,4,,Đường số 24,unclassified
32588970,4,,Nguyễn Tri Phương,tertiary
32588977,4,,Bành Văn Trân,tertiary
32588979,4,,,tertiary
32589047,4,,Tô Ngọc Vân,tertiary
32589049,4,,Bình Trưng,unclassified
32589059,4,,Phan Văn Đối,tertiary
32589084,4,,Trung Mỹ - Tân Xuân,tertiary
32589088,4,,Trung Mỹ - Tân Xuân,tertiary
32589137,4,,Đường Nguyễn Gia Trí,tertiary
32589157,4,,Phạm Văn Sáng,tertiary
32641760,4,,Thống Nhất,tertiary
32643289,3,30,Tỉnh Lộ 10,secondary
32643894,1,60,Cầu vượt An Sương,trunk
32899356,1,60,Cầu Suối Cái,trunk
32899358,1,60,Xa Lộ Hà Nội,trunk
32899360,4,,Lê Văn Chí,tertiary
32899363,4,,Cầu Bến Nọc,tertiary
32899364,4,,Lê Văn Việt,tertiary
32899369,3,,Nguyễn Xiển,secondary
32899370,3,,Nguyễn Xiển,secondary
32899371,3,,Nguyễn Xiển,secondary
32899372,3,,Nguyễn Xiển,secondary
32899378,4,,Long Phước,unclassified
32899381,4,,Cầu Trao Trảo,tertiary
32899382,4,,Nguyễn Xiển,tertiary
32899384,4,,Cầu Gò Công,tertiary
32899385,4,,Nguyễn Xiển,tertiary
32899386,4,,Cầu Rạch Gầm,tertiary
32899387,4,,Nguyễn Xiển,tertiary
32899392,4,,Cầu Võ Khế,tertiary
32899393,4,,Nguyễn Duy Trinh,tertiary
32899396,4,,Bưng Ông Thoàn,tertiary
32899399,4,,Cầu Ông Nhiêu,tertiary
32899401,3,,Cầu Xây dựng,secondary
32899403,3,,Nguyễn Duy Trinh,secondary
32899404,1,80,Cầu Rạch Chiếc 2,trunk
32899405,1,60,Xa lộ Hà Nội,trunk
32899406,4,,,tertiary
32902701,3,50,Lê Văn Khương,secondary
32902793,4,,Cầu Bình Phước 1,tertiary
32902795,1,,Cầu Vĩnh Bình,trunk
32902797,1,60,Cầu vượt Bình Phước,trunk
32910319,2,60,Quốc lộ 22,primary
32910324,3,,Nguyễn Văn Bứa,secondary
32928891,4,,,unclassified
32928897,2,,Đồng Văn Cống,primary
32928899,1,60,Quốc lộ 1,trunk
32928901,3,,Cầu Gò Dưa,secondary
32928902,4,,Kha Vạn Cân,tertiary
32928904,2,,Cầu Ông Dầu,primary
32928906,1,60,Cầu Cả Bốn 1,trunk
32928907,1,60,Quốc lộ 1,trunk
32928908,1,60,Cầu Ga 1A,trunk
32928910,1,60,Cầu Rạch Sâu 1,trunk
32928912,1,60,Cầu Bến Cát 1,trunk
32928914,1,60,Cầu An Phú Đông 1,trunk
32928916,2,,Cầu vượt Ngã Tư Ga,primary
32928924,3,,Cầu cụt,secondary
32928925,4,,Lê Đức Thọ,tertiary
32928926,3,,Cầu Trường Đai,secondary
32928927,3,,Lê Đức Thọ,secondary
32928928,4,,Cầu Bến Phân,tertiary
32928929,4,,Tô Ngọc Vân,tertiary
32928930,2,,Cầu An Lộc,primary
32928932,2,,Hà Huy Giáp,primary
32928933,4,,Cầu Đỏ,tertiary
32928934,4,,Nguyễn Xí,tertiary
32928935,4,,Cầu Băng Ky,tertiary
32928936,4,,Nơ Trang Long,tertiary
32928938,4,,Chu Văn An,unclassified
32928942,4,,Bình Quới,tertiary
32928944,2,,Quốc lộ 13,primary
33094769,2,,Quốc lộ 50,primary
33101955,4,,Phạm Hữu Lầu,tertiary
33101956,4,,Phạm Hữu Lầu,tertiary
33101960,3,,Cầu Long Kiểng,secondary
33101962,3,,Lê Văn Lương,secondary
33101963,3,,Lê Văn Lương,secondary
33101965,1,80,Cầu Ông Bé,trunk
33101968,1,80,Nguyễn Văn Linh,trunk
33101970,1,80,Cầu Ông Lớn,trunk
33101973,1,80,Nguyễn Văn Linh,trunk
33101974,2,80,Cầu Thầy Tiêu,primary
33102005,3,,Cầu Phú Xuân,secondary
33103420,4,,An Dương Vương,tertiary
33103426,4,,An Dương Vương,tertiary
33103437,4,,Cầu Bà Tiếng,tertiary
33103440,4,,Hồ Học Lãm,tertiary
33103443,4,,Đặng Nguyên Cẩn,tertiary
33103446,4,,Đặng Nguyên Cẩn,tertiary
33103453,3,,Cầu Tân Hoá,secondary
33103457,3,20,Lũy Bán Bích,secondary
33103463,4,,Trịnh Đình Thảo,unclassified
33103490,2,,Đinh Bộ Lĩnh,primary
33103592,2,,Cầu Sơn,primary
33103594,2,,Xô Viết Nghệ Tĩnh,primary
33103621,4,,Cầu Đen 2,tertiary
33103624,1,50,Cầu Văn Thánh,trunk
33237033,4,,Cầu Kênh B,tertiary
33237035,4,,Trần Đại Nghĩa,tertiary
33238041,3,,Cầu Tân Tạo,secondary
33238043,3,,Tỉnh Lộ 10,secondary
33238044,3,,Cầu Bà Hom,secondary
33238046,3,,Tỉnh Lộ 10,secondary
33238056,2,,Hà Huy Giáp,primary
33241516,2,,Cầu Bông,primary
33241520,2,,Đinh Tiên Hoàng,primary
33285422,3,,Cầu Bà Lát,secondary
33285425,3,,Trần Văn Giàu,secondary
33285442,3,,Bình Long,secondary
33285446,3,,Lê Trọng Tấn,secondary
33285449,3,,Lê Trọng Tấn,secondary
33285451,3,,Lê Trọng Tấn,secondary
33285453,3,,Lê Trọng Tấn,secondary
33285456,1,80,Cầu Bình Phú Tây,trunk
33285459,1,80,Quốc lộ 1,trunk
33285465,1,80,Quốc lộ 1,trunk
33285471,2,,Cầu vượt Quang Trung,primary
33285472,2,80,Cầu Tham Lương,primary
33285480,4,,Phan Huy ích,tertiary
33285483,4,,Phan Huy ích,tertiary
33285488,2,,Cầu Chợ Cầu 1,primary
33285489,2,,Quang Trung,primary
33285493,2,,Cầu Giao Khẩu,primary
33285507,2,,Cầu Đúc Nhỏ,primary
33287635,3,,Cầu Giồng Ông Tố 1,secondary
33287653,3,,Nguyễn Thị Định,secondary
33287660,4,,Cầu Ông Tranh,tertiary
33287661,4,,Lương Định Của,tertiary
33287667,3,,Trần Não,secondary
33287674,4,,Cầu Đen 1,tertiary
33569361,4,,Cầu Phước Long,tertiary
33569362,4,,Phạm Hữu Lầu,tertiary
33571995,3,,Cầu Rạch Đĩa,secondary
33571996,3,,Lê Văn Lương,secondary
33571997,3,,Cầu Đa Khoa,secondary
33572000,4,,Cầu Rạch Bàng 1,tertiary
33572001,4,,Lê Văn Lương,tertiary
33572006,1,80,Cầu Xóm Củi,trunk
33572007,1,80,Nguyễn Văn Linh,trunk
33572008,4,,Cầu Bà Tàng,tertiary
33572010,4,,Cầu Vĩnh Mậu,tertiary
33572011,4,,Bến Mễ Cốc,tertiary
33572013,4,,Cầu Phạm Văn Chí,tertiary
33572189,1,80,Cầu Mã Voi,trunk
33572190,1,80,Nguyễn Văn Linh,trunk
33572191,1,80,Cầu Bà Lớn,trunk
33572192,1,80,Nguyễn Văn Linh,trunk
33572195,3,,Cầu Hậu Giang,secondary
33573740,2,,Cầu Nguyễn Tri Phương,primary
33573741,2,,Cầu Chánh Hưng,primary
33573743,4,,Cầu Hiệp Ân 2,tertiary
33573744,4,,Nguyễn Duy,tertiary
33573745,4,,Cầu Hiệp Ân 1,tertiary
33573746,4,50,Phạm Thế Hiển,tertiary
33573747,4,,Cầu Mật,tertiary
33573748,4,,Phạm Thế Hiển,tertiary
33573749,4,,Cầu Chữ Y,tertiary
33573872,4,,Bến Vân Đồn,tertiary
33573873,2,,Cầu Nguyễn Văn Cừ,primary
33574358,4,,Lương Định Của,tertiary
33574359,4,,Lương Định Của,tertiary
33574429,2,,Cầu Văn Thánh 2,primary
33574430,2,,Cầu vượt Nguyễn Hữu Cảnh,primary
33574732,4,,Ngô Tất Tố,tertiary
34684246,2,,Nguyễn Hữu Thọ,primary
34684249,3,,Cầu Rạch Đĩa,secondary
34718250,2,80,Nguyễn Văn Linh,primary
34718834,1,80,Cầu Ông Lớn,trunk
34718836,1,80,Nguyễn Văn Linh,trunk
34718837,1,80,Cầu Ông Bé,trunk
34718839,1,80,Nguyễn Văn Linh,trunk
34718841,1,80,Cầu Xóm Củi,trunk
34719374,1,80,Cầu Bà Lớn,trunk
34719375,1,80,Nguyễn Văn Linh,trunk
34719376,1,80,Cầu Mã Voi,trunk
34719377,1,80,Nguyễn Văn Linh,trunk
34729945,1,80,Nguyễn Văn Linh,trunk
34729948,4,,Thế Lữ,tertiary
34729949,4,,Thế Lữ,tertiary
34729950,4,,Thế Lữ,tertiary
34729951,4,,Thế Lữ,tertiary
35085677,4,,Hoàng Sa,tertiary
35085736,3,,Lê Văn Sỹ,secondary
35085959,1,50,Điện Biên Phủ,trunk
35086157,4,,Huỳnh Văn Bánh,tertiary
35112843,4,,Trần Quốc Toản,tertiary
35112845,4,,Trần Ðình Xu,tertiary
35112965,4,,Cầu Số 9,tertiary_link
35112981,4,,Ðồng Khởi,tertiary
35113010,4,,Phó Ðức Chính,tertiary
35113033,2,,Nguyễn Văn Trỗi,primary
35113051,4,,Calmette,tertiary
35113070,2,,Nguyễn Thị Minh Khai,primary
35113072,4,,Vườn Chuối,unclassified
35113076,4,,Nguyễn Phúc Nguyên,tertiary
35113101,3,,Lý Tự Trọng,secondary
35113104,2,,Cầu Thị Nghè,primary
35113152,4,,Cầu Trần Quang Diệu,tertiary
35113174,4,,Phạm Ngọc Thạch,tertiary
35113306,4,,Công Trường Quốc Tế,tertiary
35113440,4,,Cầu Số 6,tertiary_link
35113484,4,,Cống Quỳnh,tertiary
35113487,4,,Rạch Bùng Binh,tertiary
35113490,4,,Cống Quỳnh,tertiary
35113566,4,,Trần Quang Diệu,tertiary
35113568,4,,Trần Quang Diệu,tertiary
35113574,4,,Phạm Hồng Thái,tertiary
35113579,4,,Nguyễn Hữu Cầu,tertiary
35113678,4,,Trần Văn Ðang,tertiary
35113689,4,,Hồ Hảo Hớn,tertiary
35113724,4,,Nguyễn Cảnh Chân,tertiary
35113743,4,,Pasteur,tertiary
35113871,2,,Cầu Công Lý,primary
